Bengali,Chakma,Tense
কি ঝামেলা হলো সেটা দুইজনে জানে,𑄇𑄨 𑄖𑄬𑄟𑄴𑄟𑄋𑄴 𑄦𑄧𑄣𑄧 𑄥𑄨𑄠𑄚𑄴 𑄘𑄨𑄎𑄧𑄚𑄬 𑄎𑄚𑄧𑄚𑄴।,Present
.কাঁকা উঠার সম হাত দিে লাফ দিল,𑄇𑄇𑄴𑄈𑄧𑄚𑄴 𑄎𑄬𑄢𑄬 𑄃𑄪𑄥𑄨𑄋𑄴𑄉𑄮𑄃𑄨 𑄖𑄪𑄋𑄴𑄛𑄪𑄘𑄨 𑄣𑄧𑄢𑄴 𑄘𑄨𑄣𑄇𑄴।,Past
ফানুসটা তাদেরকে কত ব করে নিে আসলো,𑄜𑄧𑄢𑄈𑄪𑄣𑄧 𑄖𑄢𑄢𑄬 𑄇𑄧𑄖𑄴𑄘𑄪𑄢𑄴 𑄥𑄧𑄋𑄴 𑄃𑄇𑄴𑄇𑄮𑄃𑄨 𑄘𑄨 𑄃𑄬𑄣𑄧।,Past
"এক সাথে তুংপুং,বাঁশি,তুংপুং মা,বাু,বাুং মা,বাু,বাুং মা,বাুং মা,বাুং মা,বাুং মা,বাুং মা,বাুং মা,বাুং মা,বাুং মা,বাুং মা,বাুং মা,বাুং মা,বাুং মা","𑄃𑄬𑄇𑄴𑄟𑄥𑄴 𑄎𑄬𑄢𑄬 𑄖𑄪𑄋𑄴𑄛𑄪𑄘𑄨, 𑄝𑄋𑄮𑄘𑄨, 𑄖𑄪𑄋𑄴𑄛𑄪𑄘𑄨 𑄟, 𑄝𑄝𑄴, 𑄝𑄋𑄮𑄘𑄨 𑄎𑄟𑄬𑄝𑄮 𑄣𑄧𑄉𑄬 𑄘𑄨𑄝𑄬 𑄛𑄮 𑄝𑄚𑄴𑄘𑄧𑄢𑄴𑄝𑄚𑄴 𑄃𑄬𑄣𑄇𑄴।",Present
ধরে নিে যাওা তুংপুদিে তাদের আসা,𑄙𑄧𑄢𑄨 𑄣𑄪𑄠𑄮 𑄡𑄠𑄴 𑄖𑄪𑄋𑄴𑄛𑄪𑄘𑄨𑄣𑄮𑄃 𑄖𑄬𑄟𑄴𑄟𑄋𑄴 𑄟𑄧𑄎𑄨𑄟𑄴 𑄖𑄢𑄢𑄴 𑄃𑄬 𑄃𑄬𑄎𑄚।,Present
"উসিঙর মা,এক বোন,দুই জন অসৎ ব্যক্তির কাহিনী শুনে দরজা বন্ধ করে দিল","𑄃𑄪𑄥𑄨𑄋𑄧𑄢𑄴 𑄟, 𑄃𑄬𑄇𑄴 𑄞𑄬𑄃𑄨, 𑄝𑄮𑄚𑄴, 𑄘𑄨 𑄃𑄬𑄇𑄴 𑄎𑄧𑄚𑄴 𑄃𑄘𑄬𑄇𑄎𑄬 𑄟𑄚𑄪𑄌𑄴 𑄜𑄧𑄢𑄈𑄪𑄣𑄧 𑄞𑄢 𑄊𑄧𑄢𑄧𑄖𑄴 𑄞𑄚𑄴 𑄖𑄬 𑄘𑄨𑄎𑄧𑄚𑄴 𑄃𑄚𑄨 𑄥𑄫𑄖𑄳𑄢𑄧 𑄥𑄪𑄚𑄬𑄃𑄨 𑄎𑄧𑄙𑄧𑄚𑄴 𑄝𑄚𑄨 𑄘𑄨𑄣𑄇𑄴।",Past
"সিমের উসিঙে বেগুনি রঙের ফুল তুলে থামি, ধুধুক শার্ট, ধুধুক শার্ট, লাল টুপি","𑄥𑄨𑄚𑄳𑄠𑄬 𑄃𑄪𑄥𑄨𑄋𑄧𑄢𑄴 𑄇𑄨𑄠𑄬𑄖𑄴 𑄝𑄬𑄉𑄪𑄚𑄨 𑄢𑄧𑄋𑄧𑄢𑄴 𑄜𑄪𑄣𑄴 𑄖𑄪𑄣𑄳𑄠𑄬 𑄗𑄟𑄨, 𑄙𑄪𑄝𑄴 𑄥𑄨𑄣𑄪𑄟𑄴 . . ., 𑄌𑄪𑄣𑄧𑄖𑄴 𑄜𑄪𑄣𑄴 𑄃 𑄜𑄧𑄢𑄈𑄪𑄣𑄧𑄢𑄴 𑄙𑄪𑄘𑄨, 𑄙𑄪𑄝𑄴 𑄥𑄨𑄣𑄪𑄟𑄴, 𑄢𑄋 𑄈𑄧𑄝𑄧𑄋𑄴 𑄝𑄚𑄳𑄠𑄬।",Present
তারা দুইজন পাশাপাশি করে বসে,𑄙𑄉𑄙𑄇𑄳𑄠𑄬 𑄉𑄧𑄢𑄨 𑄖𑄢 𑄘𑄨𑄎𑄧𑄚𑄴।,Present
.সূত্রের কাজ শেষ হলে বামে বামে মিলে গেল,𑄥𑄫𑄖𑄳𑄢𑄧 𑄇𑄧𑄚 𑄗𑄪𑄟𑄴 𑄦𑄧𑄣𑄬 𑄝𑄋𑄮𑄘𑄨 𑄝𑄋𑄮𑄘𑄨 𑄎𑄟𑄬𑄝𑄮 𑄃𑄬𑄇𑄴𑄇𑄚𑄴 𑄚𑄱 𑄉𑄟𑄴 𑄎𑄣𑄮𑄃𑄨 𑄘𑄧𑄏𑄧𑄖𑄴 𑄖𑄪𑄚𑄴 𑄦𑄪𑄉𑄪𑄟𑄴 𑄟𑄉𑄨 𑄎𑄧𑄢 𑄝𑄚𑄨 𑄘𑄨𑄣𑄧।,Past
.লবনাক্ত সুতাটা হাতে বেঁধে দো হলো,𑄥𑄫𑄖𑄳𑄢𑄧 𑄥𑄪𑄘𑄮 𑄓𑄬𑄚𑄴 𑄦𑄘𑄧𑄖𑄴 𑄝𑄚𑄨 𑄘𑄳𑄠𑄬 𑄦𑄧𑄣𑄧।,Past
মিল হলো দুই মনের,𑄟𑄨𑄣𑄴 𑄦𑄧𑄣𑄧 𑄘𑄨𑄠𑄚𑄴 𑄟𑄧𑄚𑄧𑄢𑄴।,Present
সবাই,𑄝𑄬𑄇𑄴𑄪𑄚𑄧𑄖𑄳𑄠𑄬,Present
বিজ্ঞপ্তি কাগজ,𑄜𑄧𑄉𑄧𑄘𑄋𑄨 𑄇𑄉𑄮𑄎𑄴,Present
জাতিসংঘের তোতলামি,𑄎𑄖𑄨𑄥𑄧𑄁𑄊𑄧 𑄖𑄮𑄣𑄴𑄝𑄨𑄌𑄴 𑄞𑄚𑄴𑄘𑄣𑄴,Present
"ঢাকা, ঢাকা","𑄔𑄇, 𑄝𑄁𑄣𑄘𑄬𑄥𑄴।",Present
ভাছ বদল: বিজিনা চামা,𑄞𑄌𑄴 𑄝𑄧𑄘𑄧𑄣𑄴: 𑄳𑄝𑄨𑄎𑄨𑄚𑄘𑄴 𑄌𑄋𑄴𑄟,Present
কাপ: সুতার চামা,𑄇𑄝𑄨𑄘𑄋𑄴: 𑄥𑄚𑄴𑄖𑄨 𑄌𑄋𑄴𑄟,Present
". ১৯৪৮ সালে ১০ ডিসেম্বর জাতিসংঘে যে ঘোষণা করা হ, তা হলো, ঢোল বাজিে",𑄷𑄿𑄺𑄾 𑄥𑄣𑄧𑄖𑄴 𑄷𑄶 𑄓𑄨𑄥𑄬𑄟𑄴𑄝𑄧𑄢𑄴 𑄎𑄖𑄨𑄥𑄧𑄁𑄊𑄬 𑄟𑄚𑄬𑄃𑄨𑄠𑄧𑄢𑄴 𑄃𑄧𑄙𑄨𑄇𑄢𑄧𑄢𑄴 𑄡𑄬 𑄜𑄧𑄉𑄧𑄘𑄋𑄨 𑄇𑄉𑄮𑄎𑄴 𑄉𑄧𑄎𑄨𑄣𑄧𑄚𑄬𑄃𑄨 𑄃𑄳𑄦 𑄔𑄪𑄣𑄴 𑄛𑄨𑄘𑄨 𑄘𑄨𑄚𑄬𑄃𑄨 𑄥𑄨𑄠𑄚𑄴 𑄦𑄣𑄴𑄝𑄨𑄘𑄬𑄚𑄴𑄖𑄧 𑄎𑄬𑄢𑄬𑄘𑄨 𑄛𑄘𑄚𑄨𑄖𑄴 𑄜𑄧𑄉𑄧𑄘𑄋𑄴 𑄉𑄧𑄢 𑄦𑄧𑄣𑄧।,Present
".এই বিশাল ব্যবধানে পার পর সব সম মানুষরা একই জাগা ভাগ করে দো, দো, পা, পা, পা, পা, পা, পা, পা, পা, পা, পা, পিে দো","𑄃𑄬 𑄝𑄨𑄎𑄧𑄉𑄧𑄢𑄴 𑄛𑄧𑄘𑄧𑄇𑄴𑄈𑄬𑄛𑄧𑄢𑄴 𑄎𑄬𑄢𑄬 𑄛𑄧𑄢𑄨𑄥𑄧𑄘𑄴 𑄝𑄬𑄇𑄴 𑄝𑄧𑄢𑄴𑄉𑄧 𑄘𑄬𑄌𑄴𑄍𑄚𑄨𑄢𑄬 𑄜𑄧𑄉𑄧𑄘𑄋𑄨 𑄇𑄉𑄮𑄌𑄴𑄍𑄚𑄧𑄖𑄴 𑄟𑄪𑄣𑄪𑄇𑄴 𑄇𑄧𑄙𑄚𑄨 𑄜𑄧𑄉𑄧𑄘𑄋𑄴 𑄃𑄳𑄦 𑄃𑄨𑄠𑄚𑄴 𑄘𑄬𑄏𑄬 𑄘𑄬𑄏𑄬 𑄃𑄳𑄦 𑄌𑄉𑄣𑄠𑄴 𑄌𑄉𑄣𑄠𑄴 𑄢𑄎𑄴𑄚𑄰𑄖𑄨𑄇𑄴 𑄟𑄚𑄴𑄚𑄨𑄚𑄬𑄃𑄨 𑄃𑄣𑄘𑄉𑄧𑄢𑄨 𑄝𑄬𑄇𑄴 𑄚𑄧𑄇𑄴𑄞𑄌𑄴 𑄉𑄮𑄌𑄬𑄴 𑄃𑄨𑄇𑄴𑄪𑄣𑄚𑄨𑄖𑄴 𑄃𑄳𑄦 𑄚𑄚𑄝𑄝𑄧𑄖𑄳𑄠𑄬 𑄥𑄨𑄇𑄴𑄈𑄳𑄠𑄢𑄴 𑄎𑄉𑄖𑄴 𑄞𑄉𑄴𑄉𑄧𑄢𑄨 𑄘𑄬𑄚, 𑄘𑄬𑄉𑄚, 𑄛𑄧𑄢𑄨𑄥𑄪𑄚𑄧𑄚 𑄃𑄳𑄦 𑄞𑄋𑄨 𑄞𑄋𑄨 𑄝𑄪𑄏𑄬𑄃𑄨 𑄘𑄨𑄝𑄢𑄴 𑄇𑄮𑄎𑄧𑄣𑄨 𑄉𑄮𑄌𑄬𑄴।",Present
জাতিসংঘের মহাসচিব,𑄎𑄖𑄨𑄥𑄧𑄁𑄊𑄧 𑄟𑄧𑄦𑄥𑄧𑄌𑄨𑄝𑄴,Present
সব মানুষ পাহাে পাহাের দখল নিে জনম নেওা,𑄝𑄬𑄇𑄴 𑄟𑄚𑄬𑄠𑄪𑄚𑄴 𑄃𑄢𑄋𑄴 𑄃𑄧𑄙𑄨𑄇𑄢𑄴 𑄃𑄳𑄦 𑄃𑄢𑄋𑄴 𑄥𑄙𑄨𑄇𑄢𑄴 𑄚𑄨𑄚𑄬𑄃𑄨 𑄎𑄧𑄚𑄧𑄟𑄴 𑄣𑄧𑄚𑄴।,Present
জাতিসংঘ সব মানুষদের একসাথে বিলি করা আর শেষ করে দো,𑄎𑄖𑄨𑄥𑄧𑄁𑄊𑄧 𑄝𑄬𑄇𑄴 𑄟𑄚𑄪𑄌𑄌𑄪𑄚𑄮𑄢𑄴 𑄟𑄚𑄬𑄃𑄨 𑄃𑄧𑄙𑄨𑄇𑄢𑄴 𑄟𑄚𑄨𑄚𑄬𑄃𑄨 𑄝𑄨𑄣𑄨 𑄉𑄧𑄢𑄚 𑄃𑄳𑄦 𑄗𑄪𑄝𑄬𑄃𑄨 𑄢𑄉𑄚𑄢𑄴 𑄈𑄟𑄴 𑄈𑄬𑄠𑄮𑄚𑄴।,Present
জাতিসংঘের সনদটা পেেছে বলে মানুষ আর পৃথিবীর মানুষদের বিশ্বাস আছে,𑄎𑄖𑄨𑄥𑄧𑄁𑄊𑄧 𑄥𑄧𑄚𑄧𑄘𑄖𑄴𑄪𑄚𑄴 𑄛𑄬𑄃𑄨𑄠𑄬 𑄃𑄬 𑄈𑄟𑄴 𑄈𑄬𑄠𑄬𑄚𑄨𑄖𑄳𑄠𑄬 𑄃𑄢𑄋𑄴 𑄟𑄚𑄬𑄃𑄨 𑄃𑄧𑄙𑄨𑄇𑄢𑄴 𑄟𑄚𑄬𑄃𑄨𑄠𑄮𑄢𑄴 𑄟𑄚𑄴 𑄃𑄳𑄦 𑄘𑄟𑄚𑄨 𑄉𑄮𑄘 𑄛𑄨𑄖𑄴𑄗𑄨𑄟𑄨𑄖𑄴 𑄟𑄚𑄬𑄃𑄨𑄠𑄪𑄚𑄮𑄢𑄴 𑄝𑄨𑄌𑄴𑄍𑄬𑄌𑄴 𑄃𑄬𑄥𑄳𑄠𑄬।,Present
যে অধিকারগুলো সব মানুষদের এখানে বেশি করে দিতে হ,𑄡𑄬 𑄃𑄧𑄙𑄨𑄇𑄢𑄚𑄨 𑄝𑄬𑄇𑄴 𑄟𑄚𑄪𑄌𑄴𑄪𑄚𑄮 𑄃𑄨𑄙𑄪 𑄥𑄧𑄋𑄴 𑄉𑄧𑄢𑄨 𑄉𑄧𑄢𑄧𑄎𑄴 𑄦𑄧𑄠𑄴।,Present
.মেেদের সবার বিজ্ঞপ্তির কাগজ গুলো জাতিসংঘে পাঠানো হ,𑄟𑄚𑄬𑄃𑄨 𑄃𑄧𑄙𑄨𑄇𑄢𑄧𑄢𑄴 𑄝𑄬𑄇𑄴𑄪𑄚𑄮𑄢𑄴 𑄜𑄧𑄉𑄧𑄘𑄋𑄨 𑄇𑄉𑄮𑄎𑄴 𑄎𑄖𑄨𑄥𑄧𑄁𑄊𑄧 𑄉𑄧𑄟𑄬𑄘𑄣𑄬 𑄃𑄪𑄌𑄴𑄧 𑄞𑄌𑄴𑄮𑄃𑄨 𑄥𑄨𑄠𑄚𑄨 𑄘𑄳𑄠𑄠 𑄦𑄧𑄠𑄳𑄠𑄬।,Present
এই সম্পত্তিগুলো তোমাদের সবার,𑄃𑄬 𑄃𑄧𑄙𑄨𑄇𑄢𑄚𑄨 𑄖𑄧𑄟𑄢𑄴 𑄝𑄬𑄇𑄴𑄪𑄚𑄮𑄢𑄴 𑄥𑄧𑄟𑄴𑄝𑄧𑄖𑄴𑄨।,Present
এগুলো তোমার প্রাপ্য,𑄃𑄨𑄠𑄚𑄨 𑄖𑄧𑄟𑄢𑄴 𑄃𑄧𑄙𑄨𑄇𑄢𑄴।,Present
এগুলো সব সমে পরিচিত হওা লাগবে,𑄃𑄨𑄠𑄚𑄨𑄣𑄮𑄃𑄨 𑄉𑄧𑄟𑄬𑄘𑄣𑄬 𑄥𑄧𑄘𑄧𑄢𑄴 𑄦𑄧𑄃𑄨𑄚𑄬𑄃𑄨 𑄌𑄨𑄚𑄴𑄛𑄧𑄎𑄴𑄧 𑄦𑄧𑄝।,Future
আমি তো শুধু এগুলো ভালো করে দেখতেছি,𑄃𑄟𑄧𑄚𑄧𑄖𑄳𑄠𑄬 𑄃𑄳𑄦 𑄟𑄚𑄬𑄃𑄨 𑄦𑄨𑄎𑄬𑄝𑄬 𑄃𑄧𑄚𑄳𑄠 𑄟𑄚𑄬𑄃𑄨𑄠𑄧𑄖𑄳𑄠𑄬 𑄃𑄨𑄠𑄚𑄨𑄢𑄬 𑄞𑄣𑄬𑄘𑄨 𑄃𑄳𑄦 𑄢𑄧𑄇𑄴𑄈𑄬 𑄉𑄧𑄢𑄧𑄘𑄬 𑄃𑄬𑄎𑄣𑄴 𑄘𑄳𑄠𑄠𑄴।,Present
.মেেদের সবার জন্য বিজ্ঞপ্তি কাগজ,𑄟𑄚𑄬𑄃𑄨 𑄃𑄧𑄙𑄨𑄇𑄢𑄧𑄢𑄴 𑄝𑄬𑄇𑄴𑄪𑄚𑄧𑄖𑄳𑄠𑄬 𑄜𑄧𑄉𑄧𑄘𑄋𑄨 𑄇𑄉𑄮𑄎𑄴,Present
মুত্রথলি,𑄟𑄪𑄇𑄴𑄛𑄖𑄴𑄨,Present
".যেন সবার সমে স্থান পাওা, পৃথিবীতে একটা সম্মান থাকা, সহাতা করা, সহাতা করা","𑄡𑄬𑄚𑄴 𑄟𑄚𑄬𑄃𑄨 𑄣𑄧𑄉𑄧𑄢𑄴 𑄝𑄬𑄇𑄴𑄪𑄚𑄮𑄢𑄴 𑄃𑄨𑄎𑄴𑄮𑄖𑄴 𑄥𑄧𑄢𑄧𑄟𑄴 𑄃𑄳𑄦 𑄝𑄬𑄇𑄴𑄪𑄚𑄮𑄖𑄳𑄠𑄬 𑄃𑄬𑄇𑄴𑄪𑄃𑄨 𑄃𑄧𑄙𑄨𑄇𑄢𑄴 𑄟𑄚𑄚 𑄛𑄨𑄖𑄴𑄗𑄨𑄟𑄨𑄖𑄴 𑄥𑄙𑄩𑄚𑄧𑄖, 𑄥𑄧𑄁𑄖𑄮𑄣𑄴𑄝𑄨𑄌𑄴 𑄃𑄳𑄦 𑄥𑄚𑄴𑄖𑄨𑄢𑄴 𑄈𑄪𑄘𑄮𑄴।",Present
". যেন মানুষদের কষ্ট দো এবং কষ্ট দো করতেছে, যেখানে মানুষরা কথা বলতেছে আর কোন কষ্ট পাবে না",𑄡𑄬𑄚𑄴 𑄟𑄚𑄧𑄝𑄨𑄇𑄴 𑄃𑄧𑄙𑄨𑄇𑄢𑄚𑄨𑄢𑄬 𑄊𑄨𑄚𑄬𑄚 𑄃𑄳𑄦 𑄃𑄧𑄝𑄇𑄴𑄈 𑄉𑄧𑄢𑄚 𑄟𑄚𑄬𑄠𑄴 𑄎𑄘𑄧𑄖𑄳𑄠𑄬 𑄃𑄧𑄉𑄧𑄟𑄚𑄴 𑄎𑄧𑄚𑄧𑄇𑄴 𑄚𑄨𑄌𑄴𑄖𑄪𑄢𑄴 𑄃𑄨𑄨𑄎𑄬𑄝𑄬 𑄢𑄪𑄛𑄴 𑄣𑄞𑄴 𑄉𑄮𑄌𑄬𑄴 𑄃𑄳𑄦 𑄥𑄙𑄢𑄧𑄚𑄴 𑄟𑄚𑄪𑄌𑄴𑄍𑄪𑄚𑄮𑄢𑄴 𑄘𑄋𑄧𑄢𑄴 𑄃𑄏-𑄞𑄧𑄢𑄴𑄥𑄢𑄴 𑄟𑄎𑄢 𑄃𑄨𑄎𑄬𑄝𑄬 𑄃𑄬𑄇𑄴𑄇𑄚𑄴 𑄛𑄨𑄖𑄴𑄗𑄨𑄟𑄨𑄢𑄴 𑄃𑄢𑄴𑄉𑄚𑄨 𑄜𑄧𑄉𑄧𑄘𑄋𑄨 𑄦𑄮𑄠𑄬 𑄡𑄨𑄠𑄮𑄖𑄴 𑄟𑄚𑄪𑄌𑄴𑄍𑄪𑄚𑄬 𑄇𑄧𑄙 𑄇𑄧𑄝𑄢𑄴 𑄃𑄢𑄴 𑄇𑄧𑄚𑄧𑄇𑄨𑄌𑄴𑄍𑄪 𑄝𑄨𑄌𑄴𑄥𑄬𑄌𑄴 𑄉𑄧𑄢𑄨𑄝𑄢𑄴 𑄥𑄙𑄨𑄚𑄧𑄖 𑄛𑄬𑄝𑄇𑄴 𑄃𑄳𑄦 𑄘𑄧𑄢𑄧𑄖𑄴𑄪𑄚𑄴 (𑄞𑄧𑄠𑄴) 𑄃𑄢𑄧‘ 𑄢𑄘𑄧𑄖𑄴𑄪𑄚𑄴 (𑄃𑄧𑄞𑄝𑄴) 𑄃𑄬𑄢𑄚𑄴 𑄛𑄬𑄝𑄇𑄴𑄴 ।,Future
.যেন সে সমে মানুষদের এত কষ্ট দিতে পারে না বলে হাতির সাসনে বসে থাকা উচিত,𑄡𑄬𑄚𑄴 𑄥𑄬𑄎𑄴 𑄛𑄧𑄘𑄧𑄇𑄴𑄈𑄬𑄛𑄴 𑄃𑄨𑄎𑄬𑄝𑄬 𑄟𑄚𑄪𑄌𑄴𑄍𑄪𑄚𑄮𑄢𑄬 𑄃𑄧𑄖𑄳𑄠𑄌𑄢𑄴-𑄚𑄨𑄛𑄨𑄢𑄧𑄚𑄧𑄢𑄴 𑄝𑄨𑄢𑄪𑄘𑄬𑄴 𑄝𑄨𑄘𑄳𑄢𑄮𑄦𑄨 𑄃𑄧𑄘𑄬 𑄝𑄙𑄳𑄠 𑄉𑄧𑄢 𑄚𑄧 𑄃𑄧𑄣𑄬 𑄟𑄚𑄬𑄠𑄴 𑄃𑄧𑄙𑄨𑄇𑄢𑄚𑄨 𑄇𑄟𑄇𑄴𑄈𑄠𑄴 𑄦𑄬𑄚𑄮𑄢𑄴 𑄥𑄥𑄧𑄚𑄧𑄖𑄴 𑄝𑄚𑄨 𑄢𑄉𑄚 𑄃𑄪𑄌𑄨𑄖𑄴𑄴,Present
.যেন সব জাতের মধ্যে ভালো বন্ধু আছে।,𑄡𑄬𑄚𑄴 𑄝𑄬𑄇𑄴 𑄎𑄖𑄴𑄪𑄚𑄮𑄢𑄴 𑄟𑄧𑄙𑄳𑄠𑄬 𑄉𑄧𑄟𑄴 𑄝𑄧𑄚𑄴𑄙𑄪𑄖𑄴𑄧𑄛𑄪𑄢𑄴𑄕𑄧 𑄥𑄧𑄟𑄴𑄛𑄧𑄢𑄴𑄇𑄧 𑄃𑄪𑄎𑄬𑄃𑄨 𑄚𑄬𑄡𑄬𑄝𑄖𑄳𑄠𑄬 𑄃𑄬𑄎𑄣𑄴 𑄘𑄬𑄚 𑄘𑄧𑄢𑄴𑄇𑄢𑄴।,Present
".যেন জাতিরা সনদ দিে আছে যে, মানুষের সমে সম্মান ও সম্মান আছে এবং বোর সম জীবন যাপন করতে পারে না","𑄡𑄬𑄚𑄴 𑄎𑄖𑄨𑄥𑄧𑄁𑄊𑄧𑄥𑄧𑄢𑄨𑄘𑄴 𑄦𑄮𑄠𑄬 𑄎𑄖𑄴𑄪𑄚𑄬 𑄥𑄧𑄚𑄧𑄘𑄧‘ 𑄟𑄙𑄳𑄠𑄟𑄬 𑄟𑄪𑄣𑄪𑄇𑄴 𑄟𑄪𑄣𑄪𑄇𑄴 𑄟𑄚𑄬𑄠𑄴𑄃𑄧𑄙𑄨𑄇𑄢𑄚𑄨, 𑄟𑄚𑄬𑄠𑄧𑄢𑄴 𑄟𑄚𑄴-𑄟𑄧𑄢𑄴𑄡𑄘 𑄃𑄢𑄧 𑄟𑄪𑄣𑄳𑄠𑄠𑄚𑄨 𑄃𑄳𑄦 𑄟𑄨𑄣𑄬 𑄟𑄧𑄢𑄧𑄘𑄧𑄢𑄴 𑄥𑄧𑄁 𑄥𑄧𑄁 𑄃𑄧𑄙𑄨𑄇𑄢𑄚𑄨𑄢𑄴 𑄛𑄳𑄢𑄧𑄖𑄨 𑄃𑄥𑄴𑄗 𑄛𑄪𑄚𑄧𑄢𑄴𑄝𑄳𑄠𑄧𑄇𑄴𑄖𑄧 𑄉𑄮𑄌𑄴𑄍𑄮𑄚𑄴 𑄃𑄳𑄦 𑄥𑄟𑄎𑄨𑄇𑄴 𑄞𑄣𑄬𑄖𑄴 𑄃𑄢𑄧 𑄝𑄬𑄎𑄴 𑄝𑄬𑄎𑄴 𑄥𑄙𑄨𑄚𑄧𑄖𑄢𑄴 𑄃𑄪𑄎𑄪𑄇𑄴𑄌𑄪𑄇𑄴 𑄎𑄨𑄝𑄧𑄚𑄧𑄢𑄴 𑄟𑄚𑄴 𑄝𑄢𑄬𑄝𑄖𑄳𑄠𑄬 𑄘𑄧𑄢𑄧𑄟𑄧𑄢𑄧 (𑄘𑄳𑄢𑄨𑄢𑄧𑄛𑄳𑄢𑄧𑄖𑄨𑄉𑄴𑄉𑄧)।",Present
.যেন মানবরা জাতিসংঘে আসতেছে এবং মানুষরা সবাই একসাথে আসতেছে,𑄡𑄬𑄚𑄴 𑄥𑄧𑄘𑄧𑄥𑄳𑄠𑄧 𑄢𑄥𑄴𑄖𑄳𑄢𑄧𑄠𑄚𑄨 𑄎𑄖𑄨𑄥𑄧𑄁𑄊𑄧𑄢𑄴 𑄃𑄬𑄎𑄣𑄬 𑄟𑄚𑄬𑄠𑄴𑄃𑄙𑄨𑄇𑄢𑄴 𑄃𑄢𑄧 𑄟𑄪𑄣𑄪𑄇𑄴 𑄥𑄙𑄨𑄇𑄢𑄧𑄢𑄴 𑄛𑄳𑄢𑄧𑄖𑄨 𑄝𑄬𑄇𑄴𑄇𑄚𑄨 𑄥𑄳𑄢𑄧𑄘𑄴𑄙 𑄃𑄳𑄦 𑄟𑄚𑄴 𑄝𑄢𑄬𑄝𑄖𑄳𑄠𑄬 𑄃𑄧𑄁𑄉𑄨𑄇𑄢𑄴𑄝𑄧𑄘𑄴𑄙𑄧 ।,Present
মনে হ এই কাজগুলো করলে পুরনো ধনীরা সব পাবে এবং সমে সবাই সমান বুঝতো,𑄡𑄬𑄚𑄴 𑄃𑄬 𑄃𑄧𑄁𑄉𑄨𑄇𑄢𑄚𑄨 𑄉𑄧𑄟𑄬𑄘𑄧𑄣𑄬 𑄛𑄪𑄢𑄮𑄚𑄴 𑄉𑄧𑄢𑄨𑄝𑄖𑄳𑄠𑄬 𑄝𑄬𑄇𑄴 𑄃𑄧𑄙𑄨𑄇𑄢𑄴 𑄃𑄢𑄧 𑄥𑄙𑄨𑄇𑄢𑄧𑄖𑄳𑄠𑄬 𑄃𑄬𑄇𑄴𑄇𑄚𑄴 𑄥𑄙𑄢𑄧𑄚𑄴 𑄝𑄪𑄏𑄴 𑄛𑄛𑄨 𑄦𑄧𑄚 𑄝𑄬𑄇𑄴𑄇𑄪𑄚𑄧𑄖𑄳𑄠𑄬 𑄳𑄟𑄢𑄪𑄖𑄴𑄧𑄛𑄪𑄢𑄴𑄕𑄧𑄴,Past
"এখন, এখন",𑄃𑄨𑄇𑄬𑄴 𑄥𑄬𑄚𑄧𑄖𑄳𑄠𑄬,Present
সাধারণ মানুষ,𑄥𑄙𑄢𑄧𑄚𑄴 𑄛𑄧𑄢𑄨𑄥𑄧𑄘𑄴,Present
সব জাগা এবং মানুষ একটি সাধারণ মাটিতে বসে আছে,𑄝𑄬𑄇𑄴 𑄎𑄖𑄴 𑄃𑄢𑄧 𑄟𑄚𑄪𑄌𑄴𑄪𑄚𑄮𑄢𑄴 𑄞𑄣𑄬𑄘𑄮𑄢𑄴 𑄃𑄬𑄇𑄴𑄇𑄚𑄴 𑄥𑄙𑄢𑄧𑄚𑄴 𑄟𑄚𑄴𑄘𑄧𑄚𑄴𑄓𑄧 𑄦𑄨𑄎𑄬𑄝𑄬 𑄜𑄧𑄉𑄧𑄘𑄋𑄴 𑄉𑄧𑄢𑄬𑄢𑄴 𑄃𑄬𑄃𑄨,Present
. মানুষরা সবার থেকে বেশি দখল করে,𑄟𑄚𑄬𑄃𑄨 𑄃𑄧𑄙𑄨𑄇𑄢𑄧𑄢𑄴 𑄝𑄬𑄇𑄴𑄇𑄪𑄚𑄧𑄖𑄳𑄠𑄬,Present
