chakma,bangla
𑄛𑄨𑄢𑄬𑄚𑄨𑄃𑄮 𑄌𑄨𑄚𑄬,রোগীও চিনে
𑄌𑄬𑄢𑄬𑄖𑄴𑄳𑄠𑄃𑄮 𑄘𑄮𑄣𑄬𑄉𑄧𑄢𑄬,চোরটাও সুন্দর
𑄉𑄧𑄟𑄴𑄉𑄧𑄟𑄴 𑄘𑄢𑄪 𑄘𑄳𑄆𑄨𑄚𑄬 ।,ভালো ঔষুধ দিে
𑄥𑄨𑄚𑄪𑄖𑄴𑄳𑄠𑄳𑄆 𑄟𑄪𑄚𑄪𑄌𑄴𑄪𑄚𑄬 𑄎𑄬 𑄖𑄢𑄳𑄦𑄬,সেখান থেকে মলাগুলো বের হে যা
𑄌𑄨𑄖𑄴 𑄘𑄨𑄃𑄮𑄣𑄬 𑄇𑄮𑄌𑄴𑄛𑄳𑄦𑄚𑄴,মন দিে ভালোবাসা
𑄟𑄪𑄢𑄨𑄚𑄬𑄃𑄮 𑄥𑄬𑄚𑄬 𑄖𑄢𑄳𑄦𑄬,পাহােও তাকে সেভাবে দেখে
𑄃𑄬𑄎𑄧 𑄚𑄋𑄴 𑄊𑄨𑄚𑄨 𑄛𑄚𑄴 ।,এই নাকটা ঘিনি পান
𑄚𑄋𑄚𑄴 𑄖𑄢𑄴 𑄎𑄪𑄢𑄮𑄌𑄚𑄴,নাকটা তার সুন্দর
𑄢𑄬𑄓𑄨𑄃𑄮 𑄟𑄬𑄇𑄢𑄴,রেডিও মেে
𑄝𑄬𑄎𑄴 𑄉𑄧𑄛𑄴 𑄘𑄬 𑄇𑄨𑄚𑄬𑄭 𑄓𑄉𑄧𑄚𑄴 𑄖𑄢𑄳𑄦𑄬,বোই করে তাকে বিে করে
𑄣𑄪𑄘𑄨 𑄝𑄌𑄴 𑄍𑄧𑄢 𑄝𑄬𑄖𑄢𑄴 ।,এক জাতী রেডিও
𑄝𑄬𑄋𑄴𑄢𑄎 𑄃𑄢𑄴 𑄝𑄬𑄋𑄴𑄢𑄚𑄨,"বোই, বোই"
𑄃𑄬𑄇𑄴 𑄃𑄧𑄇𑄴𑄖𑄧𑄖𑄴 𑄃𑄬𑄇𑄴 𑄝𑄬𑄋𑄴𑄢𑄎 𑄃𑄢𑄧 𑄃𑄬𑄇𑄴 𑄝𑄬𑄋𑄴𑄢𑄚𑄨,এক লাঠিতে এক বো আর এক বো
𑄃𑄬𑄇𑄴 𑄉𑄬𑄘 𑄝𑄎𑄬𑄣𑄇𑄴 𑄖𑄢𑄳𑄦 𑄇𑄮𑄙 𑄑𑄚𑄑𑄚𑄨 −,এক কথা বলে তারা মুখ বাঁকা করলো
𑄃𑄬𑄚𑄬 𑄃𑄬𑄚𑄬 𑄝𑄎𑄨𑄣𑄧 𑄖𑄢𑄳𑄦𑄢𑄴 𑄃𑄬𑄇𑄴 𑄃𑄮𑄟𑄳𑄦 𑄎𑄮𑄣𑄴,এনে এনে বেঁধে দিল তাদের এক জোা
𑄥𑄬 𑄎𑄮𑄣𑄮𑄖𑄴 𑄢𑄎𑄴𑄊𑄧𑄢𑄚𑄴 𑄉𑄮𑄘 𑄦𑄧𑄣𑄧 𑄃𑄮𑄣𑄮 𑄏𑄮𑄣𑄴 ।,সে পাতিলে রাজঘরটা গুো হলো
𑄢𑄎 𑄙𑄮𑄎𑄴𑄳𑄠 𑄢𑄚𑄨 𑄣𑄬𑄎𑄮𑄖𑄴 𑄢𑄚𑄨 𑄙𑄮𑄎𑄴𑄳𑄠 𑄢𑄎𑄢𑄴,রাজা ধোঁা রানির লেজে রানী ধোঁা রাজা
𑄑𑄚𑄑𑄚𑄨 𑄉𑄮𑄢𑄳𑄦𑄨 𑄖𑄢𑄳𑄦𑄢𑄴 𑄘𑄨𑄚𑄴 𑄉𑄮𑄋𑄬 𑄝𑄧𑄏𑄧𑄢𑄴 𑄡𑄢𑄴 ।,তাদের দিনগুলো ভালোভাবে কেটে যা
𑄃𑄨𑄇𑄴𑄬𑄚𑄴 𑄉𑄮𑄢𑄳𑄦𑄨 𑄉𑄧𑄖𑄴𑄬 𑄉𑄧𑄖𑄴𑄬 𑄇𑄨 𑄦𑄧𑄣𑄧 𑄗𑄪𑄟𑄬𑄚𑄴𑄘𑄨,এখন গুঁো করতে করতে কি হলো শেষটা
𑄉𑄮𑄢 𑄥𑄪𑄘𑄴𑄙𑄧 𑄣𑄬𑄌𑄴𑄌𑄚𑄨 𑄘𑄮 𑄎𑄧𑄚𑄧𑄢𑄴 𑄉𑄬𑄣𑄧 𑄍𑄨𑄚𑄨 ।,.গোসাপের লেজটা দুই জন নিে গেল
𑄣𑄬𑄎𑄴𑄍𑄨𑄚𑄨 𑄡𑄬𑄭 𑄃𑄨𑄇𑄴𑄬 𑄖𑄢𑄳𑄦𑄢𑄴 𑄇𑄮𑄎𑄴𑄳𑄠 𑄗𑄟𑄬𑄣𑄧,লেজটা এখন তাদের কোমা থামলো
𑄌𑄪𑄚𑄴𑄙𑄪𑄣𑄴 𑄉𑄮𑄢𑄳𑄦𑄨 𑄉𑄮𑄎𑄴𑄬 𑄛𑄪𑄢𑄨 𑄢𑄎 𑄃𑄨𑄇𑄴𑄬 𑄞𑄝𑄨𑄣𑄧,চূা গিে পুিে রাজা এখন চিন্তা করছে
𑄝𑄬𑄇𑄴𑄪𑄚𑄧𑄖𑄴𑄪𑄚𑄴 𑄣𑄬𑄎𑄴 𑄗𑄬𑄭𑄚𑄬 𑄝𑄕 𑄃𑄟𑄖𑄴𑄪𑄚𑄴 𑄚𑄬𑄭,সবাই আমাদের থেকে দূরে থাকে শুধু আমাদের থেকে
𑄇𑄨 𑄉𑄮𑄢𑄳𑄦𑄨𑄝𑄧 𑄢𑄎 𑄃𑄨𑄇𑄴𑄬 𑄚𑄧 𑄛𑄳𑄦𑄢𑄴 𑄞𑄝𑄨𑄚𑄬 ।,কি গিার রাজা এখনো পাওা যাচ্ছে না
𑄎𑄬𑄢𑄬𑄘𑄨 𑄃𑄬𑄇𑄴𑄈𑄚𑄴 𑄝𑄪𑄘𑄴𑄙𑄨 𑄈𑄘𑄬𑄭 𑄞𑄪𑄢𑄪𑄖𑄴 𑄉𑄮𑄢𑄳𑄦𑄨 𑄑𑄨𑄠𑄬𑄣𑄧,সে একটা বুদ্ধি দিে ভুরু গুিে ফেলল
𑄝𑄬𑄇𑄴 𑄝𑄬𑄋𑄪𑄚𑄴 𑄢𑄎𑄴 𑄊𑄧𑄢𑄧𑄖𑄴 𑄃𑄬𑄝𑄣𑄴𑄣𑄭 𑄦𑄪𑄟𑄴 𑄘𑄨𑄣𑄧 ।,সব ব্যাঙগুলো রাজবািতে এসে লাফ দিল
𑄖𑄪𑄣𑄴 𑄛𑄪𑄣𑄴𑄳𑄠 𑄦𑄳𑄆𑄮 𑄝𑄬𑄇𑄴 𑄝𑄬𑄋𑄪𑄚𑄴 𑄢𑄎𑄴 𑄊𑄧𑄢𑄧𑄖𑄴 𑄃𑄬𑄭,.তুলনা পুল হে সব ব্যাঙগুলো রাজ বািতে আছে
𑄌𑄚𑄴𑄘𑄬 𑄘𑄧 𑄃𑄮𑄟𑄳𑄦 𑄝𑄬𑄙𑄧𑄇𑄴 𑄢𑄎𑄢𑄴 𑄣𑄬𑄌𑄴𑄌𑄚𑄴 𑄚𑄬𑄭 ।,চাঁদ তো আমাদের সাথে অনেক রাজার লেলিে আছে
𑄝𑄬𑄇𑄴𑄪𑄚𑄧𑄢𑄬 𑄢𑄨𑄚𑄨 𑄌𑄬𑄭 𑄢𑄎𑄠𑄴 𑄃𑄨𑄇𑄴𑄬 𑄦𑄪𑄟𑄴 𑄘𑄨𑄣𑄧,সবাই তাকে দেখে লাফ দিল
𑄟𑄧𑄙𑄮𑄇𑄴𑄳𑄠𑄚𑄴 𑄉𑄮𑄢𑄳𑄦𑄨 𑄝𑄬𑄇𑄴 𑄝𑄬𑄋𑄪𑄚𑄬 𑄣𑄬𑄌𑄴𑄌𑄚𑄨 𑄇𑄝𑄨 𑄜𑄬𑄣𑄧 ।,মলাটা ছোট করে সবগুলো সেলাই করে ফেলে
𑄣𑄬𑄌𑄴𑄌𑄚𑄨 𑄦𑄧𑄣𑄧 𑄎𑄮𑄚𑄴𑄎𑄃𑄮𑄣𑄪𑄇𑄴 𑄌𑄘𑄬𑄃𑄮 𑄣𑄉𑄬 𑄝𑄬𑄙𑄧𑄇𑄴,লেজটা হলো জোালের মতো দেখতে লাগে
𑄚𑄧 𑄗𑄬𑄣𑄬 𑄦𑄧𑄠𑄴 𑄇𑄬𑄠𑄳𑄠𑄚𑄴𑄃𑄮 𑄛𑄘𑄧𑄣𑄴 𑄌𑄘𑄬𑄃𑄮 𑄣𑄉𑄬 𑄙𑄧𑄇𑄴 ।,.না থাকলে হ না থাকলে শুধু পাতলা চামা লাগে
𑄢𑄎 𑄇𑄮𑄙𑄚𑄴 𑄥𑄪𑄚𑄨 𑄃𑄨𑄇𑄴𑄬 𑄝𑄬𑄇𑄴𑄪𑄚𑄴 𑄦𑄮𑄣𑄇𑄴 𑄗𑄧,রাজার কথা শুনে সবাই হেছে
𑄖𑄮𑄉𑄬 𑄚𑄧𑄛𑄘𑄧𑄚𑄴 𑄃𑄨𑄇𑄴𑄬 𑄖𑄢𑄳𑄦 𑄇𑄧𑄚𑄧 𑄝𑄪𑄘𑄴𑄙𑄨 𑄞𑄧 ।,.তরকারি বিক্রি করার মতো এখন তাদের কোনো বুদ্ধি নেই
𑄢𑄎 𑄇𑄢𑄧𑄢𑄴 𑄎𑄮𑄝𑄴 𑄚𑄧 𑄛𑄬𑄭 𑄢𑄉𑄬 𑄃𑄪𑄙𑄨 𑄜𑄪𑄣𑄨,রাজা কারের জো না পেে রাগে ফুলিে
"𑄇𑄧𑄣𑄧, 𑄥𑄣𑄬𑄚𑄴 𑄟𑄪𑄭 𑄎𑄮𑄝𑄴 𑄣𑄧𑄋𑄧𑄢𑄴 𑄎𑄧𑄚𑄬 𑄎𑄧𑄚𑄬 𑄉𑄮𑄢𑄳𑄦𑄨 ।","কল, সালেন পাহাে যাওা দুইজনে করে"
𑄇𑄮𑄥𑄴𑄳𑄠𑄧 𑄝𑄬𑄋𑄴𑄳𑄠𑄧𑄢𑄬 𑄇𑄧𑄣𑄧 𑄃𑄉𑄬 𑄛𑄪𑄚𑄴𑄘𑄨𑄇𑄴𑄳𑄠 𑄇𑄨 𑄉𑄮𑄢𑄳𑄦𑄨𑄝𑄬 𑄖𑄪𑄭,কেকটা বোইকে কল দিে কি করবা তুমি
𑄖𑄪𑄭 𑄇𑄝𑄨𑄝𑄬 𑄣𑄬𑄌𑄴𑄌𑄚𑄴 𑄚𑄨𑄎𑄬 𑄚 𑄇𑄝𑄨 𑄘𑄨𑄟𑄴 𑄟𑄪𑄭 ?,তুমি কেটে দিবে নাকি কেটে দিবো আমি
𑄇𑄮𑄥𑄴𑄳𑄠𑄧 𑄝𑄬𑄋𑄴𑄧 𑄇𑄧𑄣𑄧 𑄃𑄨𑄇𑄴𑄬 𑄚𑄚𑄪 𑄟𑄧𑄦𑄢𑄎𑄴,কেকটা বেংটা কল এখন নানু মা
𑄣𑄬𑄌𑄴𑄌𑄚𑄴 𑄡𑄪𑄚𑄨 𑄚𑄧 𑄗𑄬𑄣𑄬 𑄞𑄢𑄨 𑄦𑄧𑄝𑄧 𑄣𑄎𑄴 ।,লেজটা একসাথে না থাকলে অনেক লজ্জা করবে
𑄛𑄪𑄚𑄴 𑄘𑄨𑄇𑄴 𑄟𑄪𑄭 𑄝𑄝𑄪 𑄟𑄪𑄭 𑄚𑄋𑄴 𑄓𑄇𑄴 𑄟𑄧𑄢𑄴,পাছা দিে পাহাের নাা ডাকি আমি
𑄟𑄧𑄢𑄳𑄦𑄬 𑄌𑄬𑄣𑄬 𑄢𑄎 𑄚𑄚𑄪 𑄇𑄨 𑄚𑄋𑄴 𑄃𑄊𑄬 𑄖𑄧𑄢𑄴 ?,আমাকে দেখলে রাজার নানি কি নাম আছে তোমার
𑄇𑄮𑄥𑄴𑄳𑄠𑄧 𑄝𑄬𑄋𑄴𑄳𑄠𑄧 𑄇𑄮𑄙𑄚𑄴 𑄥𑄪𑄚𑄨 𑄢𑄎 𑄃𑄪𑄘𑄨𑄣𑄧 𑄥𑄮𑄎𑄬𑄭,কেকটা বেইন কেকটা কথা শুনে রাজা উঠল
𑄦𑄪𑄟𑄴 𑄉𑄧𑄣𑄴𑄣𑄧 𑄎𑄧𑄣𑄴𑄣𑄖𑄴𑄳𑄠𑄢𑄬 𑄟𑄪𑄉𑄧𑄢𑄴 𑄃𑄚𑄨𑄝𑄢𑄴 𑄖𑄮𑄉𑄬𑄭 −,হুম করলাম পানিতে মুগুর আনার জন্য
𑄃𑄬 𑄢𑄬𑄎𑄴𑄳𑄠𑄧𑄖𑄴 𑄢𑄎 𑄟𑄪𑄭 𑄖𑄪𑄭 𑄇𑄮𑄚𑄴𑄚 𑄇𑄮𑄠𑄳𑄠 𑄥𑄬 𑄇𑄮𑄙,এই রাতে তুমি আমার সাথে কোন কথা বলো না
𑄦𑄪𑄟𑄴 𑄉𑄮𑄢𑄳𑄦𑄨𑄣𑄧 𑄟𑄢𑄨 𑄖𑄢𑄳𑄦𑄬 𑄥𑄣𑄴𑄝𑄚𑄨 𑄘𑄳𑄠𑄧 𑄉𑄮𑄘 ।,হুম গোাল মেরে তাকে স্যাঁতসেঁতে করে দো
𑄃𑄬𑄚𑄴 𑄟𑄢𑄨𑄝 𑄇𑄬𑄠𑄳𑄠𑄖𑄴 𑄖𑄢𑄳𑄦𑄬 𑄉𑄮𑄘 𑄇𑄬𑄠𑄳𑄠 𑄜𑄪𑄣𑄨,এই মারি দিে তাকে ফুলিে দেওা হ
𑄡𑄨𑄃𑄧𑄖𑄴 𑄙𑄧𑄢𑄬 𑄥𑄨𑄃𑄧𑄖𑄴 𑄡𑄬𑄚𑄴 𑄛𑄪𑄎𑄴 𑄛𑄧𑄢𑄬𑄉𑄨 𑄉𑄪𑄣𑄨 ।,যে ধরে সেখানে যেন গুলি পেছে
𑄃𑄬𑄚𑄴 𑄟𑄢𑄨𑄣𑄧 𑄃𑄨𑄇𑄴𑄬 𑄖𑄢𑄳𑄦𑄬 𑄉𑄮𑄘 𑄇𑄬𑄠𑄳𑄠 𑄘𑄟𑄴 𑄘𑄟𑄴,.এই মারিটা এখন তাকে গোদা করে দিচ্ছে
𑄙𑄧𑄣𑄴𑄬 𑄃𑄨𑄇𑄴𑄬 𑄛𑄪𑄎𑄴 𑄛𑄧𑄢𑄬𑄉𑄨 𑄈𑄧𑄥𑄴 𑄈𑄧𑄥𑄴 𑄦𑄮𑄠𑄳𑄠 𑄌𑄟𑄴 ।,ধলে এখন পোকা পতেছে খসখসে হেছে
𑄟𑄬𑄢𑄴-𑄙𑄬𑄢𑄴 𑄈𑄬𑄭 𑄃𑄨𑄇𑄴𑄬 𑄝𑄬𑄇𑄴𑄈𑄚𑄴 𑄝𑄬𑄙𑄧𑄇𑄳𑄠 𑄦𑄳𑄆𑄮,মার খেে এখন সব পরিষ্কার হ
𑄇𑄮𑄥𑄴𑄳𑄠𑄧 𑄝𑄬𑄋𑄴 𑄃𑄨𑄇𑄴𑄬 𑄢𑄎𑄠𑄴 𑄖𑄢𑄳𑄦𑄬 𑄚𑄋𑄚𑄴 𑄘𑄨𑄣𑄧 𑄗𑄳𑄆𑄮 ।,কোাল বো এখন তাকে নাঙিে দিল
𑄥𑄨𑄖𑄴𑄗𑄪𑄚𑄴 𑄙𑄪𑄢𑄨 𑄇𑄮𑄥𑄴𑄳𑄠𑄧 𑄝𑄬𑄋𑄴 𑄦𑄧𑄣𑄧 𑄖 𑄚𑄋𑄚𑄴,সেখান থেকে বের হে যাওার সম তার নাম হলো বেইন
𑄇𑄨𑄃𑄳𑄆𑄮 𑄃𑄢𑄴 𑄙𑄮𑄖𑄴 𑄖𑄇𑄴 𑄚𑄧 𑄌𑄚𑄴 𑄝𑄬𑄊𑄬 𑄃𑄨𑄇𑄴𑄬 𑄊𑄨𑄚𑄚𑄴 ।,.কেন যে আর ধোঁা দেখতে পারে না এখন
𑄎𑄮𑄣𑄴𑄣𑄖𑄴𑄳𑄠 𑄃𑄢𑄧 𑄜𑄮𑄝𑄬 𑄜𑄮𑄝𑄬 𑄇𑄧𑄣𑄧-𑄚𑄚𑄪 𑄟𑄧𑄦𑄢𑄎𑄴,দৌাদৌি আর দৌাদৌি করে বলল-ভগবান!
𑄦𑄪𑄟𑄴 𑄉𑄮𑄢𑄳𑄦𑄨 𑄘𑄬 𑄃𑄢𑄧 𑄟𑄧𑄢𑄳𑄦𑄬 𑄇𑄢𑄳𑄦𑄬 𑄉𑄮𑄢𑄳𑄦𑄨𑄟𑄴 𑄚𑄎𑄴 ।,হাঁি দো আর আমি তোমাকে গুি দিবো
𑄢𑄎 𑄃𑄨𑄇𑄴𑄬 𑄦𑄪𑄟𑄴 𑄉𑄮𑄢𑄳𑄦𑄨𑄣𑄧 𑄎𑄮𑄣𑄴𑄣𑄖𑄴𑄳𑄠𑄢𑄬 𑄓𑄉𑄨,রাজা এখন শামুকের খোলস দিে দৌা
𑄇𑄮𑄥𑄴𑄳𑄠𑄧 𑄝𑄬𑄋𑄴𑄳𑄠𑄧𑄢𑄬 𑄣𑄬𑄌𑄴𑄌𑄚𑄴 𑄘𑄬𑄉𑄳𑄆𑄮 𑄉𑄮𑄢𑄥𑄪𑄘𑄴𑄙𑄧 𑄇𑄝𑄨 ।,কোালের বোটা দিে মাথা টোকা দেওা
𑄇𑄝𑄨 𑄜𑄬𑄣𑄬 𑄘𑄬 𑄝𑄬𑄇𑄴 𑄣𑄬𑄌𑄴𑄌𑄚𑄨 𑄡𑄬𑄇𑄴𑄪𑄚𑄴 𑄃𑄉𑄧𑄚𑄴 𑄝𑄬𑄋𑄴,কাপে ফেলে দো সব সেলাইগুলো একটা বাকি আছে
𑄝𑄬𑄇𑄴𑄪𑄚𑄴 𑄃𑄟𑄨 𑄣𑄬𑄎𑄴 𑄍𑄢 𑄦𑄳𑄆𑄮 𑄇𑄢𑄧𑄢𑄴 𑄚𑄧 𑄗𑄮𑄇𑄴 𑄙𑄬𑄋𑄴 ।,সবাই আমরা লেজ ছাা করে আর থাকতে পারিনা
𑄃𑄬𑄉𑄬 𑄃𑄬𑄉𑄬 𑄝𑄬𑄇𑄴 𑄣𑄬𑄌𑄴𑄌𑄚𑄨 𑄎𑄮𑄣𑄴𑄣𑄖𑄴𑄳𑄠 𑄘𑄨𑄣𑄧 𑄇𑄝𑄨,.একটু একটু করে সবগুলো লেলিে দিল কেটে
𑄃𑄢𑄧 𑄘𑄨𑄝𑄬 𑄝𑄬𑄋𑄧𑄢𑄬 𑄚𑄧𑄛𑄘𑄧𑄚𑄴 𑄃𑄨𑄇𑄴𑄬 𑄓𑄉𑄨 ।,আরও দুটি বানর নাচিেছে
𑄃𑄨𑄚𑄴𑄨 𑄖𑄮𑄉𑄬𑄭 𑄦𑄪𑄚𑄴𑄨 𑄖𑄮𑄉𑄬𑄭 𑄥𑄪𑄇𑄴 𑄚𑄧𑄛𑄘𑄧𑄚𑄴- 𑄎𑄬𑄢𑄬,.নিজের মতো হে অন্যের সাথে সুখ পাওা যা না
𑄥𑄪𑄇𑄴 𑄛𑄬𑄣𑄇𑄴𑄳𑄆𑄮 𑄃𑄨𑄇𑄴𑄳𑄠𑄧 𑄝𑄬𑄋𑄴 𑄇𑄪𑄎𑄪 𑄛𑄘 𑄍𑄬𑄢𑄬 ।,.সুক পাওা একটা বো পাতা ছেে
𑄌𑄪𑄣𑄧𑄖𑄴 𑄙𑄪𑄢𑄨 𑄃𑄚𑄨 𑄖𑄢𑄳𑄦𑄬 𑄎𑄮𑄣𑄴𑄣𑄖𑄴𑄳𑄠 𑄃𑄬𑄚𑄴 𑄥𑄬𑄎 𑄥𑄨𑄎𑄨𑄣𑄧,চুল ধরে নিে তাকে জোা নিে আসলো
𑄣𑄬𑄎𑄴 𑄇𑄝𑄨 𑄘𑄳𑄆𑄨 𑄛𑄨𑄘𑄨 𑄖𑄢𑄳𑄦𑄬 𑄙𑄬𑄢𑄴 𑄙𑄬𑄢𑄴 𑄝𑄚𑄬𑄣𑄧 ।,লেজ কেটে তাকে ব ব বানালে
𑄥𑄨𑄢𑄬𑄖𑄴 𑄟𑄢𑄨 𑄛𑄪𑄚𑄧𑄖𑄴 𑄟𑄢𑄨 𑄃𑄬𑄚𑄴 𑄝𑄚𑄬𑄣𑄧 𑄉𑄪𑄣𑄴,মাথা মেরে পাছা মেরে একটা বান গুল
𑄘𑄬𑄇𑄴𑄬 𑄖𑄢𑄳𑄦𑄬 𑄊𑄨𑄣𑄬 𑄙𑄮𑄇𑄴𑄳𑄠𑄚𑄴 𑄃𑄢𑄴 𑄃𑄬𑄇𑄴 𑄞𑄧𑄠𑄴 𑄌𑄬𑄣𑄳𑄦𑄬 𑄔𑄪𑄣𑄴 ।,দেখে তাকে ঘিলে ধোঁা আর এক ভে দেখলে ভ লাগে
𑄥𑄨𑄖𑄴𑄪𑄚𑄴 𑄙𑄪𑄪𑄢𑄨 𑄢𑄎𑄠𑄴 𑄘𑄨𑄣𑄧 𑄊𑄨𑄣𑄬 𑄝𑄬𑄋𑄴 𑄚𑄋𑄴 𑄖𑄢𑄳𑄦𑄬,তার থেকে ধোঁার রাজা তাকে ঘিলে বো দিল
𑄊𑄨𑄣𑄬 𑄝𑄬𑄋𑄴 𑄇𑄧𑄣𑄬 𑄃𑄨𑄇𑄴𑄬 𑄌𑄨𑄚𑄨 𑄃𑄟𑄨 𑄡𑄢𑄳𑄦𑄬 ।,ঘিলে বিাল বললে এখন তাকে চেনা যা
𑄖 𑄎𑄬𑄢𑄬𑄘𑄨 𑄙𑄮𑄎𑄴𑄳𑄠𑄧𑄚𑄴 𑄃𑄢𑄧 𑄃𑄨𑄇𑄴𑄳𑄠𑄧 𑄝𑄬𑄋𑄧𑄢𑄬 𑄖𑄮𑄉,তার ধোঁার ধোঁা আর একটা ব্যাঙকে খাওা
𑄟𑄘𑄨 𑄛𑄘𑄣𑄴 𑄚𑄧 𑄇𑄪𑄣𑄬𑄭 𑄉𑄮𑄘 𑄘𑄬𑄝 𑄎𑄮𑄉 −,মাটির পাতা না কুলালে ডিম দো
𑄖𑄮𑄉𑄬 𑄖𑄮𑄉𑄬 𑄚𑄬𑄘𑄬 𑄚𑄬𑄘𑄬 𑄃𑄨𑄇𑄴𑄇𑄳𑄠𑄧 𑄉𑄎𑄧 𑄈𑄪𑄣𑄪𑄋𑄧𑄖𑄴 𑄃𑄪𑄙𑄨,"তাাতাি, তাাতাি, তাাহুো করে একটা গাছ খুলতে হেছে"
𑄌𑄚𑄴𑄬 𑄙𑄧 𑄥𑄨𑄃𑄧𑄖𑄴 𑄥𑄬 𑄝𑄬𑄋𑄴𑄳𑄠𑄧 𑄃𑄊𑄬 𑄥𑄨𑄢𑄳𑄦𑄬 𑄉𑄪𑄎𑄨,চামা তো সেখানে সেই বোই আছে
𑄥𑄨𑄖𑄴𑄪𑄚𑄴 𑄙𑄪𑄢𑄨 𑄃𑄚𑄨 𑄖𑄢𑄳𑄦𑄬 𑄉𑄮𑄏𑄬 𑄘𑄨𑄣𑄇𑄴 𑄢𑄎𑄢𑄬,সেখান থেকে বের করে এনে রাজাকে দিল
𑄢𑄎 𑄢𑄉𑄬 𑄑𑄚𑄨𑄑𑄚𑄭 𑄝𑄬𑄦𑄣𑄴 𑄉𑄧𑄣𑄴𑄧 𑄖𑄢𑄳𑄦𑄬 ।,রাজা রাগে টানিে দিল তাকে
𑄎𑄬𑄢𑄬𑄘𑄨 𑄘𑄨𑄣𑄧 𑄣𑄬𑄌𑄴𑄌𑄚𑄴 𑄇𑄝𑄨 𑄣𑄬𑄎𑄮 𑄟𑄙𑄖𑄴 𑄙𑄪𑄢𑄨,ঝেে দিে লেজের মাথা গিে আছে
𑄘𑄨𑄣𑄧 𑄦𑄬𑄝𑄬𑄣𑄴 𑄉𑄎𑄧 𑄜𑄉𑄖𑄴 𑄢𑄎𑄠𑄴 𑄖𑄢𑄳𑄦𑄬 𑄃𑄨𑄢𑄨 ।,দিল হাতির গাে রাজা তাকে বিে করেছে
𑄑𑄚𑄨𑄑𑄚𑄭 𑄣𑄟𑄴𑄝 𑄉𑄮𑄢𑄳𑄦𑄬𑄭 𑄈𑄉𑄴 𑄇𑄬𑄟𑄮𑄥𑄚𑄴 𑄝𑄚𑄬𑄭,টানিটা লম্বা লম্বা করে কামে
𑄈𑄉𑄴 𑄝𑄬𑄋𑄴 𑄚𑄋𑄚𑄴 𑄃𑄨𑄇𑄴𑄬 𑄢𑄎𑄠𑄴 𑄘𑄨𑄣𑄧 𑄖𑄢𑄳𑄦𑄬 𑄝𑄮𑄎𑄬𑄭 ।,খাগ বেইনটা এখন তাকে রাজা করে দিল
𑄢𑄎 𑄃𑄢𑄧 𑄘𑄮𑄣𑄬 𑄃𑄨𑄇𑄴𑄬 𑄉𑄮𑄞𑄨𑄚𑄴 𑄉𑄮𑄢𑄳𑄦𑄨 𑄞𑄝𑄨,রাজা আরও ভালো করে আর ভালো করে চিন্তা করে
𑄜𑄪𑄚𑄴𑄘𑄨𑄉𑄧 𑄇𑄟𑄚𑄴 𑄘𑄨𑄣𑄧 𑄉𑄮𑄏𑄬 𑄃𑄢𑄧 𑄃𑄨𑄇𑄴𑄳𑄠𑄧 𑄝𑄬𑄋𑄧𑄢𑄬 𑄓𑄉𑄨,.ফুলের কাম দিে একটা ব্যাঙকে ডাঙিেছে
𑄜𑄮𑄘𑄛𑄮𑄖𑄴𑄳𑄠 𑄥𑄨𑄣𑄪𑄟𑄴 𑄖𑄢𑄳𑄦𑄬 𑄘𑄨𑄣𑄧 𑄇𑄬𑄠𑄳𑄠𑄖𑄴 𑄦𑄪𑄢𑄬𑄭,.ফোটকা শার্ট তাকে দিল কেে
𑄦𑄪𑄟𑄴 𑄘𑄨𑄣𑄴 𑄃𑄨𑄇𑄴𑄬 𑄉𑄨𑄖𑄴 𑄥𑄪𑄚𑄬𑄝𑄢𑄴 𑄚𑄨𑄎𑄬 𑄚𑄨𑄎𑄬 𑄎𑄮𑄢𑄬𑄭 ।,হুম দিে গিে শুনার জন্য নিজে নিজে
𑄛𑄪𑄚𑄴𑄘𑄨𑄇𑄴𑄳𑄠 𑄃𑄨𑄇𑄴𑄬 𑄉𑄨𑄖𑄴 𑄉𑄳𑄦 𑄙𑄧𑄣𑄴𑄣𑄧 𑄘𑄮𑄣𑄴 𑄉𑄮𑄢𑄳𑄦𑄨𑄚𑄬 𑄇𑄮𑄢𑄴 𑄇𑄮𑄢𑄬𑄭,.পন্দুকটা এখন গিঁটটা সুন্দর করে করে
𑄇𑄮𑄢𑄴 𑄇𑄮𑄢𑄨 𑄝𑄬𑄋𑄴 𑄚𑄋𑄴 𑄗𑄮 𑄘𑄨𑄣𑄧 𑄢𑄎𑄠𑄴 𑄃𑄨𑄇𑄴𑄬 𑄌𑄳𑄦𑄬𑄭 ।,কেকটা করে বেইন নািে দিল রাজা
𑄃𑄢𑄬𑄇𑄴𑄳𑄠𑄧 𑄝𑄬𑄋𑄴 𑄛𑄚𑄨𑄖𑄴 𑄞𑄎𑄨 𑄢𑄮𑄠𑄳𑄠 𑄢𑄎𑄢𑄴 𑄇𑄠𑄴,অন্যজন বেইন পানিতে ডুবে মারা গেছে।
