Fourth Division,First Division
পানিতে ডুবে বাচ্চাটা মরে গেছে,𑄛𑄚𑄳𑄦𑄨𑄖𑄴 𑄘𑄪𑄝𑄨𑄚𑄬𑄠𑄴 𑄉𑄪𑄢𑄮𑄞𑄮 𑄃𑄬𑄇𑄴𑄈𑄬 𑄟𑄪𑄌𑄴𑄏𑄬
"পৃথিবীটা তিন ভাগ করে পানি, এক ভাগ মাটি ","𑄛𑄨𑄖𑄴𑄗𑄨𑄟𑄨𑄃𑄚𑄴 𑄖𑄨𑄚𑄴 𑄞𑄇𑄴 𑄉𑄧𑄢𑄳𑄦𑄨 𑄛𑄚𑄳𑄦𑄨, 𑄃𑄬𑄇𑄴 𑄞𑄇𑄴 𑄟𑄘𑄨𑅁"
প্রচুর পানি,𑄛𑄚𑄳𑄦𑄨𑄇𑄎𑄨 𑄃𑄭𑄥𑄭
পানির পিপাসা  পাওয়া,𑄛𑄚𑄳𑄦𑄨 𑄗𑄌𑄴 𑄉𑄧𑄢𑄚𑄳𑄦
আমার পানির পিপাসা পেয়েছে,𑄛𑄚𑄳𑄦𑄨 𑄗𑄌𑄴 𑄉𑄧𑄢𑄳𑄦𑄬𑄢𑄴 𑄟𑄧𑄖𑄴𑄗𑄪𑄚𑄴𑅁
১. পাপ- পূণ্য,𑄷. 𑄛𑄛𑄴 – 𑄛𑄪𑄚𑄴𑄐𑄮
পাপ করা,𑄛𑄛𑄴 𑄉𑄧𑄢𑄚𑄳𑄦
মিথ্যা কথা বললে অনেক পাপ হয়,𑄟𑄨𑄏𑄬 𑄇𑄧𑄙 𑄇𑄧𑄣𑄳𑄦𑄬 𑄃𑄧𑄟𑄧𑄉𑄧𑄘𑄧 𑄛𑄛𑄴 𑄦𑄧𑄠𑄴
"পাপকে লজ্জা পাবে, পাপকে ভয় পাবে","𑄛𑄝𑄧𑄢𑄳𑄦𑄬 𑄣𑄎𑄬𑄝, 𑄛𑄝𑄧𑄢𑄳𑄦𑄬 𑄘𑄧𑄢𑄬𑄝"
পাপ নাকি বাপকেও সারে না,𑄛𑄝𑄬 𑄞𑄬𑄣𑄬 𑄝𑄝𑄧𑄢𑄳𑄦𑄬 𑄚𑄧 𑄥𑄢𑄬
"এক পোয়া তেল,তিন পোয়া চাল","𑄃𑄬𑄇𑄴 𑄛𑄝 𑄖𑄬𑄣𑄴, 𑄖𑄨𑄚𑄴 𑄛𑄝 𑄌𑄮𑄣𑄴𑅁"
"মারমা পাড়া, বাঙাল পাড়া ","𑄟𑄧𑄇𑄴 𑄛𑄢, 𑄝𑄋𑄣𑄴 𑄛𑄢"
বাজারে যেতে একটা বাঙালী পাড়া দিয়ে যেতে হয়,𑄝𑄎𑄢𑄧𑄖𑄴 𑄎𑄘𑄬 𑄝𑄋𑄣𑄴 𑄛𑄢 𑄃𑄬𑄇𑄴𑄊𑄚𑄴 𑄜𑄢𑄨 𑄎 𑄛𑄧𑄢𑄬𑅁
১.পেয়ারাটা পেরে না-ও,𑄷. 𑄉𑄪𑄠𑄬𑄟𑄴𑄟𑄳𑄦𑄮 𑄛𑄢𑄴 𑄘𑄳𑄦𑄬
পেরে দাও,𑄛𑄢𑄨 𑄘𑄬𑄚
"বইটা একটু পেরে দাও, আমি নাগাল পাচ্ছি না","𑄝𑄳𑄦𑄮𑄠𑄴𑄝𑄮 𑄃𑄬𑄇𑄴𑄇 𑄛𑄢𑄨 𑄘𑄬 𑄚𑄳𑄦, 𑄣𑄊𑄧𑄖𑄴 𑄚𑄧 𑄛𑄋𑄳𑄦𑄧𑄖𑄴𑄖𑄬"
.চালতা গুলো কে পেরে দিবে? কাঁঠালটা পাড়তে গিয়ে বোলতার কাছ থেকে দৌড়ানি  খাইছি ,𑄃𑄪𑄣𑄪𑄃𑄳𑄦𑄪𑄚𑄴 𑄇𑄧𑄚𑄴𑄚𑄳𑄦 𑄛𑄢𑄨𑄝𑄮𑄉𑄮𑄠𑄴 𑄥𑄬? 𑄇𑄖𑄴𑄗𑄮𑄣𑄴𑄣𑄮 𑄛𑄢𑄨𑄝𑄖𑄴𑄖𑄬𑄠𑄴 𑄎𑄬𑄚𑄬𑄠𑄴 𑄈𑄬𑄣𑄪𑄁𑄉𑄬 𑄣𑄧𑄢 𑄝𑄧𑄣𑄳𑄦 𑄛𑄪𑄊𑄮𑄖𑄴𑄖𑄪𑄚𑄴
৩. ডিম পারা,𑄹. 𑄝𑄧𑄘 𑄛𑄢𑄚
কচ্ছপরা বালুচরে ডিম পারে,𑄘𑄪𑄢𑄴𑄃𑄪𑄚𑄳𑄦𑄬 𑄇𑄧𑄢𑄮𑄣𑄴𑄣𑄳𑄦𑄬 𑄌𑄧𑄢𑄧𑄖𑄴 𑄝𑄧𑄘 𑄛𑄢𑄧𑄚𑄴𑄚𑄬
মুরগীটি বাসায় ডিম পারে,𑄇𑄪𑄢𑄳𑄦𑄮𑄝𑄮 𑄃𑄧𑄙𑄧𑄇𑄴𑄇𑄮𑄖𑄴 𑄝𑄧𑄘 𑄛𑄢𑄬𑄘𑄬
তুমি কাজটা করতে পারবে নাকি পারবে না?  তার জন্য পারবেনা শুধু বিরক্ত করে,"𑄖𑄪𑄠𑄴 𑄇𑄟𑄳𑄦𑄚𑄴 𑄉𑄧𑄢𑄳𑄦𑄨 𑄛𑄢𑄨𑄝𑄬 𑄚𑄳𑄦𑄬 𑄚𑄧 𑄛𑄢𑄨𑄝𑄬? 𑄥𑄬 𑄃𑄨𑄝𑄬𑄣𑄳𑄦𑄮𑄠𑄴 𑄚𑄧 𑄛𑄢𑄨𑄝𑄮𑄘𑄬, 𑄝𑄚 𑄖𑄪𑄌𑄴𑄍𑄬 𑄣𑄉𑄭𑄘𑄳𑄠𑄬"
পড়া গুলো কে কে পারবে হাত উঠাও,"𑄻. 𑄛𑄧𑄢𑄳𑄦𑄃𑄚𑄨 𑄇𑄧𑄚𑄴𑄚𑄳𑄦 𑄇𑄧𑄚𑄴𑄚𑄳𑄦 𑄛𑄢𑄬, 𑄦𑄖𑄴 𑄖𑄪𑄣𑄳𑄦𑄮𑅁"
উবোগীতের একতা,𑄞𑄨𑄟𑄴 𑄛𑄢𑄣𑄴𑄣𑄬
এক এলাকার মানুষ,𑄃𑄘𑄟𑄴𑄟𑄬 𑄛𑄢𑄣𑄴𑄣𑄬
উবোগীতটা দেখলে  আমার বুক জ্বলে আর মন জ্বলে,"𑄞𑄨𑄟𑄴 𑄛𑄢𑄣𑄴𑄣𑄬 𑄝𑄮 𑄌𑄬𑄣𑄳𑄦𑄬, 𑄝𑄪𑄇𑄴 𑄎𑄧𑄣𑄬, 𑄟𑄧𑄢𑄴 𑄟𑄧𑄚𑄴 𑄎𑄧𑄣𑄬"
গ্রামের অঞ্চলের বুদ্ধি গাছের মাথায় থাকে,𑄃𑄘𑄟𑄴𑄟𑄬 𑄛𑄢𑄣𑄴𑄣𑄬 𑄝𑄪𑄖𑄴𑄙𑄨 𑄉𑄏𑄧 𑄟𑄙𑄖𑄴 𑄖𑄁
তুমি সে ধরনের কাজ করেছ শুনলে এলাকার মানুষ গুলো কি বলবে?,𑄖𑄪𑄠𑄴 𑄥𑄬𑄠𑄚𑄴𑄐𑄳𑄦𑄬 𑄇𑄟𑄴 𑄉𑄪𑄌𑄴𑄍𑄮𑄌𑄴 𑄥𑄪𑄚𑄨𑄣𑄬 𑄃𑄘𑄟𑄴𑄟𑄬 𑄛𑄢𑄣𑄴𑄣𑄬𑄃𑄪𑄚𑄳𑄦𑄬 𑄇𑄨 𑄇𑄧𑄞𑄇𑄴?
পাড় হওয়া,𑄛𑄢𑄴 𑄦𑄧𑄚
পাড়ে পৌঁছানো,𑄛𑄢𑄧𑄖𑄴 𑄙𑄪𑄎𑄚
"সিগারেট খেতে খেতে অভ্যাস হয়ে যায়, পরে  ছাড়তে চাইলে ও ছাড়তে পারা যায় না","𑄌𑄨𑄉𑄬𑄢𑄳𑄦𑄬𑄖𑄴𑄖𑄮 𑄈𑄘𑄬 𑄈𑄘𑄬 𑄛𑄢𑄴 𑄝𑄎𑄬𑄙𑄬, 𑄎𑄬𑄢𑄬𑄚𑄴𑄙𑄨 𑄃𑄨𑄢𑄨𑄝𑄢𑄴 𑄌𑄬𑄣𑄳𑄦𑄬𑄠𑄮 𑄃𑄨𑄢𑄨 𑄚𑄧 𑄛𑄢𑄬 𑄃𑄳𑄦𑄢𑄴𑅁"
বাচ্চাটা তার মতো হবে মনে হয়,"𑄖 𑄛𑄢𑄳𑄦 𑄦𑄧𑄝𑄧𑄘𑄬 𑄃𑄭, 𑄉𑄪𑄢𑄮𑄞𑄮"
".সে অনেক মোটা, আমার মতো দশটা হবে","𑄖𑄬 𑄎𑄬 𑄛𑄧𑄇𑄴𑄗, 𑄃𑄟𑄧𑄚𑄧 𑄛𑄢𑄳𑄦 𑄛𑄢𑄳𑄦 𑄘𑄧𑄌𑄴𑄍𑄮 𑄦𑄧𑄝𑄧"
আমি আগে কার মতো হবো?,𑄟𑄪𑄠𑄴 𑄥𑄬𑄇𑄴𑄇𑄳𑄦𑄬 𑄇 𑄛𑄢𑄳𑄦 𑄦𑄮𑄟𑄴 𑄥𑄬?
. আমি মনে করছি তোমরা ভাত খেয়ে এসেছ,𑄟𑄪𑄠𑄴 𑄙𑄧 𑄛𑄢𑄳𑄦 𑄛𑄨𑄠𑄳𑄦𑄮𑄁 𑄖𑄪𑄟𑄳𑄦𑄨 𑄞𑄖𑄴 𑄈𑄬𑄈𑄭 𑄃𑄨𑄌𑄴𑄍𑄮𑄘𑄬
"তুমি কি মনে করেছ?সে মনে করছে তাকে  ভুতে ভয় দেখিয়েছে, কিন্তু না","𑄖𑄪𑄠𑄴 𑄇𑄨 𑄛𑄢𑄳𑄦 𑄛𑄨𑄠𑄳𑄦𑄮𑄌𑄴? 𑄖𑄬 𑄛𑄢𑄳𑄦 𑄛𑄨𑄠𑄳𑄦𑄬 𑄖𑄢𑄳𑄦𑄬 𑄞𑄪𑄘𑄬 𑄘𑄧𑄣𑄴 𑄣𑄉𑄬𑄠𑄳𑄦𑄮𑄚𑄴, 𑄚𑄧𑄠𑄳𑄦𑄮𑅁"
.আমরা এক বছর পর্যন্ত হাতি পালন করে নিশ্চ হয়ে গেছি,𑄷. 𑄃𑄟𑄳𑄦𑄨 𑄃𑄬𑄇𑄴 𑄝𑄧𑄏𑄧𑄢𑄴 𑄥𑄧𑄁 𑄦𑄬𑄖𑄴 𑄛𑄣𑄬𑄚𑄬𑄠𑄴 𑄜𑄪𑄖𑄴𑄖𑄮 𑄦𑄪𑄠𑄬𑄠𑄴
"মুরগী, শুকর পালানো পাপ",𑄇𑄪𑄢𑄳𑄦𑄮 𑄥𑄪𑄉𑄮𑄢𑄴 𑄛𑄣𑄚 𑄛𑄛𑄴
.সে একটা ময়না পালন করে,𑄖𑄬 𑄃𑄨𑄇𑄴𑄊𑄮 𑄟𑄧𑄚 𑄛𑄣𑄖𑄴𑄖𑄬
.মা বাবা বৃদ্ধ হলে লালন পালন করতে হয়,𑄟 𑄝𑄝𑄧𑄢𑄳𑄦𑄬 𑄝𑄪𑄢𑄮 𑄦𑄧𑄣𑄬 𑄛𑄣 𑄛𑄧𑄢𑄬
২. শীল না পালালে নিচে পাড়ে যাবে,𑄸. 𑄥𑄨𑄣𑄴 𑄚𑄧 𑄛𑄣𑄬𑄣𑄬 𑄃𑄬𑄇𑄴𑄈𑄬 𑄖𑄧𑄣𑄬𑄙𑄨 𑄛𑄧𑄢𑄨𑄝𑄉𑄮𑄠𑄴
.শীল পালানোর পর সে তারাতাড়ি স্বাবলম্বী হয়েছে,𑄥𑄨𑄣𑄴 𑄛𑄣𑄬𑄚𑄬𑄠𑄴 𑄚𑄧𑄚𑄳𑄦𑄬 𑄖𑄬 𑄏𑄪𑄢𑄪𑄖𑄴 𑄏𑄪𑄢𑄪𑄖𑄴 𑄞𑄣𑄬𑄖𑄴 𑄦𑄧𑄣𑄧𑄘𑄬𑅁
আজকে আমাদের দায়িত্ব,𑄃𑄨𑄌𑄴𑄌𑄬 𑄃𑄟𑄳𑄦 𑄛𑄣𑄳𑄦
.এখন কার দায়িত্ব,𑄃𑄨𑄇𑄴𑄈𑄪 𑄇 𑄛𑄣𑄳𑄦?
"তোমরা আলাদা আলাদা করে রাতে পাহারা দিও,সে কিছুক্ষণ সে কিছুক্ষণ করে","𑄖𑄪𑄟𑄳𑄦𑄨 𑄛𑄣𑄳𑄦𑄛𑄭𑄣𑄴𑄣𑄳𑄦𑄬 𑄉𑄧𑄢𑄳𑄦𑄨 𑄢𑄬𑄘𑄮𑄖𑄴 𑄌𑄪𑄝𑄨 𑄗𑄬𑄝𑄘𑄬 𑄃𑄭, 𑄖𑄬 𑄈𑄇𑄴𑄇𑄧𑄚𑄴, 𑄖𑄬 𑄈𑄇𑄴𑄇𑄧𑄚𑄴 𑄉𑄧𑄢𑄳𑄦𑄨𑅁"
এক ঝাঁক বানর/ শুকর,𑄃𑄬𑄇𑄴 𑄛𑄣𑄴 𑄝𑄚𑄴𑄘𑄧𑄢𑄴/ 𑄥𑄪𑄉𑄮𑄢𑄴𑅁
.তাকে পালকিতে করে নিয়ে যাচ্ছে,𑄖𑄢𑄳𑄦𑄬 𑄛𑄣𑄴𑄉𑄨𑄖𑄴 𑄉𑄧𑄢𑄳𑄦𑄨 𑄚𑄬𑄎𑄘𑄧𑄚𑄴
সবাইকে এক পাল্লাই মাপা যায়না মানুষদের,𑄝𑄬𑄇𑄴𑄇𑄪𑄚𑄳𑄦𑄮𑄢𑄬 𑄃𑄬𑄇𑄴 𑄛𑄣𑄴𑄣𑄖𑄴 𑄟𑄝𑄨 𑄚𑄧 𑄛𑄢𑄬 𑄟𑄚𑄳𑄦𑄪𑄌𑄴𑄌𑄪𑄚𑄴𑅁
.তারা একটা পালিত ছেলে লালনপালন করছে,𑄖𑄢𑄳𑄦 𑄃𑄨𑄇𑄴𑄊𑄮 𑄛𑄣𑄧𑄇𑄴 𑄛𑄮 𑄛𑄣𑄘𑄧𑄚𑄴
পালিত ছেলে,𑄛𑄣𑄧𑄇𑄴 𑄛𑄮
পালিত নিয়ে আসা,𑄛𑄣𑄧𑄇𑄴 𑄃𑄚𑄚𑄳𑄦
.তারা তাকে ছোট বেলায় পালক নিয়ে আছে,𑄖𑄢𑄳𑄦 𑄖𑄢𑄳𑄦𑄬 𑄌𑄨𑄉𑄮𑄚𑄮 𑄃𑄧𑄇𑄴𑄗𑄧𑄖𑄴 𑄛𑄣𑄧𑄇𑄴 𑄃𑄚𑄴𑄐𑄳𑄦𑄮𑄚𑄴𑄘𑄬𑅁
.মন্ত্র,[𑄖𑄣𑄳𑄦𑄨𑄇𑄴]
আসক্ত  হওয়া,𑄛𑄣𑄧𑄁 𑄝𑄎𑄚𑄳𑄦
অভ্যাসে পরিনত হওয়া,𑄛𑄣𑄧𑄋𑄬 𑄙𑄧𑄢𑄚
ধুমপানের আসক্ত,𑄙𑄪𑄚𑄴𑄚𑄮 𑄛𑄣𑄧𑄁
. আমি কি আসক্ত হয়ে পরলাম নাকি? তাকে মদের আসক্ত যেভাবে ধরেছে সে আর ছাড়তে পারবেনা,"𑄟𑄧𑄢𑄳𑄦𑄬 𑄇𑄨 𑄛𑄣𑄧𑄋𑄬 𑄙𑄧𑄣𑄴𑄣𑄧 𑄚𑄇𑄨? 𑄖𑄢𑄳𑄦𑄬 𑄟𑄧𑄘𑄧 𑄛𑄣𑄧𑄋𑄬 𑄎𑄬𑄠𑄚𑄴𑄐𑄳𑄦𑄬 𑄉𑄧𑄢𑄳𑄦𑄨 𑄙𑄧𑄌𑄴𑄌𑄳𑄦𑄬 𑄘𑄧, 𑄃𑄨𑄢𑄨 𑄚𑄧 𑄛𑄢𑄨𑄝𑄮 𑄃𑄳𑄦𑄢𑄴𑅁"
পাম্পে ফুলানো,𑄛𑄃𑄮𑄟𑄳𑄦𑄮𑄖𑄴 𑄜𑄪𑄣𑄚
".চাকায় পাম্প নাই, পাম্প দিতে হবে","𑄌𑄇𑄴𑄇𑄞𑄮 𑄛𑄦𑄮𑄟𑄴 𑄚𑄬𑄠𑄴, 𑄛𑄦𑄮𑄟𑄴 𑄘𑄳𑄠𑄬 𑄛𑄧𑄢𑄨𑄝𑄮"
.বলে পাম্প না থাকলে ব্যাথা করে,𑄝𑄳𑄦𑄮𑄣𑄴𑄣𑄮 𑄛𑄦𑄮𑄟𑄴 𑄚𑄧 𑄗𑄬𑄣𑄬 𑄛𑄨𑄢𑄬 𑄉𑄧𑄢𑄳𑄦𑄬
. সেটা পাম্পে তারাতাড়ি ফুলে উঠে,𑄥𑄨𑄝𑄳𑄦𑄬 𑄈𑄇𑄴𑄈𑄬 𑄛𑄦𑄮𑄟𑄮𑄖𑄴 𑄜𑄪𑄣𑄬𑄘𑄬 𑄥𑄮
সে তাকে কি পাম্প দিয়ে আসল নাকি,𑄖𑄬 𑄥𑄨𑄝𑄬𑄢𑄳𑄦𑄬 𑄇𑄨 𑄛𑄦𑄮𑄟𑄴 𑄘𑄨 𑄘𑄭 𑄃𑄨𑄌𑄴𑄍𑄬𑄉𑄮𑄠𑄴 𑄇𑄨𑄎𑄬𑄚𑄨𑅁
. আমি আগে তার মতো ছিলাম,𑄷. 𑄟𑄪𑄠𑄴 𑄥𑄬𑄇𑄴𑄇𑄳𑄦𑄬 𑄖 𑄛𑄳𑄦 𑄦𑄮𑄟𑄴𑄟𑄬 𑄃𑄭
সে কার মতো হবে? ২.বসার জায়গা দাও,𑄇 𑄛𑄳𑄦 𑄦𑄧𑄝𑄧 𑄥𑄬 𑄖𑄬? 𑄸. 𑄛𑄳𑄦𑄖𑄴 𑄘𑄬𑄚
.ভাত বসিয়ে দিচ্ছ নাকি? আমি আগে তরকারিটা বসিয়ে দিয়ে আছি,𑄞𑄖𑄴 𑄛𑄳𑄦𑄖𑄴 𑄘𑄮𑄖𑄴𑄗𑄬 𑄚𑄇𑄨? 𑄟𑄪𑄠𑄴 𑄃𑄇𑄴𑄇𑄬 𑄖𑄮𑄚𑄳𑄦𑄚𑄴 𑄛𑄳𑄦𑄖𑄴 𑄘𑄨 𑄣𑄧𑄁
চুলা একটাও খালি নেই,𑄛𑄳𑄦 𑄃𑄨𑄇𑄴𑄊𑄮𑄠𑄮 𑄃𑄎𑄬𑄢𑄴 𑄚𑄬𑄠𑄴
.প্রথম হওয়া / থাকা / রয়েছে,𑄛𑄳𑄦𑄌𑄴 𑄦𑄧𑄚/ 𑄗𑄚/ 𑄢𑄧𑄚𑄳𑄦
". কে প্রথম হয়েছে? থাকছে? প্রথম,দ্বিতীয়, তৃতীয় হওয়া কঠিন এতজনের মধ্যে","𑄇𑄧𑄚𑄴𑄚𑄳𑄦 𑄛𑄳𑄦𑄌𑄴 𑄦𑄪𑄠𑄬? 𑄗𑄨𑄠𑄳𑄦𑄬? 𑄛𑄳𑄦𑄌𑄴, 𑄥𑄬𑄇𑄬𑄚𑄴, 𑄖𑄳𑄦𑄖𑄴 𑄦𑄧𑄚 𑄃𑄉𑄭𑄖𑄴𑄗𑄬 𑄃𑄳𑄦𑄬𑄘𑄧𑄇𑄴𑄎𑄧𑄚𑄧 𑄞𑄨𑄘𑄨𑄢𑄬"
.যেখানে সেখানে,𑄎𑄨𑄙𑄪 𑄛𑄳𑄦𑄠𑄴
যখন তখন,𑄎𑄬𑄇𑄴𑄈𑄬 𑄛𑄳𑄦𑄠𑄴
.যেথা পায় সেটা,𑄎𑄨𑄠𑄳𑄦𑄬𑄚𑄴 𑄛𑄳𑄦𑄠𑄴 𑄥𑄨𑄠𑄳𑄦𑄬𑄚𑄴𑅁
স্টাইল করা,𑄛𑄳𑄦𑄁 𑄟𑄢𑄚
. ফ্যানটা ঘুরতেছে,𑄷. 𑄛𑄁𑄈𑄃𑄚𑄴 𑄊𑄪𑄢𑄬𑄢𑄴
.কয়টা ফ্যান আছে?  কোথায় পড়ে যায় জানি না,𑄇𑄧𑄠𑄳𑄦𑄚𑄴 𑄛𑄁𑄈 𑄃𑄊𑄬? 𑄛𑄁𑄈 𑄝𑄢𑄨 𑄈𑄬𑄚𑄬𑄠𑄴 𑄇𑄪𑄙𑄪 𑄛𑄧𑄣𑄴𑄣𑄧𑄊𑄮𑄠𑄴 𑄇𑄨𑄎𑄬𑄚𑄨
.ফ্যানটা আর চলে না,𑄛𑄁𑄈𑄃𑄚𑄴 𑄚𑄧 𑄌𑄧𑄣𑄬 𑄃𑄳𑄦𑄢𑄴
২. সে তো কাজ কর্মে দক্ষ,𑄸. 𑄖𑄬 𑄙𑄧 𑄇𑄟𑄬 𑄇𑄧𑄌𑄴𑄎𑄬 𑄛𑄁𑄈
.মেয়েটা বুনা কাঁটায় দক্ষ,𑄟𑄨𑄣𑄬𑄞𑄮 𑄝𑄪𑄚𑄮 𑄇𑄘 𑄛𑄁𑄈
তার চুলের স্টাইলটা সুন্দর আছে,𑄖𑄧 𑄌𑄪𑄣𑄮 𑄛𑄳𑄦𑄁𑄃𑄚𑄴 𑄘𑄧 𑄘𑄮𑄣𑄴 𑄃𑄊𑄬
মোটা - চিকন,𑄛𑄧𑄇𑄴𑄗 – 𑄈𑄬𑄋𑄬𑄘
মোটু - মুটকি,𑄛𑄧𑄇𑄴𑄖𑄠𑄳𑄦𑄬 – 𑄛𑄧𑄇𑄴𑄗𑄨
.মোটা হওয়া,𑄛𑄧𑄇𑄴𑄗 𑄦𑄧𑄚
.ওই মোটু কোথায় যাচ্ছ? সে এত মোটা তাকে রিকশাওয়ালারা দেখলেও ভয় পাই,"𑄃𑄮𑄠𑄴 𑄛𑄧𑄇𑄴𑄖𑄠𑄳𑄦𑄬! 𑄇𑄪𑄙𑄪 𑄎𑄳𑄦𑄧𑄢𑄴? 𑄖𑄬 𑄎𑄬 𑄛𑄧𑄇𑄴𑄗 𑄘𑄧, 𑄖𑄢𑄳𑄦𑄬 𑄘𑄬𑄣𑄳𑄦𑄬 𑄢𑄨𑄇𑄴𑄥𑄬𑄃𑄱𑄣𑄃𑄪𑄚𑄳𑄦𑄬 𑄘𑄧𑄢𑄚𑄴 𑄎𑄚𑄬"
".সে কি খেয়ে মোটা হয়েছে? মোটা মোটা হাত,পা,গোল গোল গাল","𑄇𑄨 𑄈𑄬𑄚𑄬𑄠𑄴 𑄛𑄧𑄇𑄴𑄗 𑄦𑄧𑄣𑄧 𑄖𑄬? 𑄛𑄧𑄇𑄴𑄗 𑄛𑄧𑄇𑄴𑄗 𑄦𑄖𑄴 𑄗𑄬𑄁, 𑄟𑄧𑄎 𑄟𑄧𑄎 𑄉𑄣𑄴"
পঁচা হওয়া,𑄛𑄧𑄉𑄧𑄢 𑄦𑄧𑄚
সব আম পঁচা,𑄃𑄟𑄳𑄦𑄪𑄚𑄴 𑄝𑄬𑄇𑄴𑄈𑄪𑄚𑄴 𑄛𑄧𑄉𑄧𑄢
তাবিজ,[𑄖𑄣𑄳𑄦𑄨𑄇𑄴]
".পজ্জোন বলা,শুনানো,শুনা,বানানো","𑄛𑄧𑄌𑄴𑄍𑄧𑄚𑄴 𑄇𑄧𑄚𑄳𑄦, 𑄥𑄪𑄚𑄚, 𑄥𑄪𑄚𑄮𑄚, 𑄎𑄧𑄢𑄚"
".পজ্জোন শুনা লোকজন,হ্যা বলবেন,বুঝছেন?","𑄛𑄧𑄌𑄴𑄍𑄧𑄚𑄴 𑄥𑄪𑄚𑄨𑄠𑄬𑄣𑄧𑄇𑄴, 𑄃𑄨𑄀 𑄛𑄪𑄢𑄬𑄝, 𑄝𑄪𑄎𑄨𑄣𑄳𑄦?"
.পঁচার গন্ধ,𑄛𑄧𑄎 𑄝𑄌𑄴
.আবর্জনা,𑄛𑄧𑄎𑄣𑄧𑄎
মুখের গন্ধ,𑄟𑄪 𑄛𑄧𑄎𑄝𑄌𑄴
আমগুলো সব পঁচা,𑄃𑄟𑄳𑄦𑄪𑄚𑄴 𑄉𑄧𑄘 𑄛𑄧𑄎
.তার মুখ থেকে শুধু গন্ধ বের হয়,𑄖𑄖𑄴𑄗𑄪𑄚𑄴 𑄝𑄚 𑄟𑄪 𑄛𑄧𑄎𑄝𑄌𑄴 𑄚𑄳𑄦𑄨𑄉𑄨𑄣𑄬𑄘𑄬
.কোথায় থেকে গন্ধ আসতেছে?,𑄇𑄪𑄚𑄴𑄙𑄨𑄖𑄴𑄖𑄪𑄚𑄴 𑄛𑄧𑄎 𑄝𑄌𑄴 𑄃𑄬𑄏𑄬𑄢𑄴?
.এক.পঁচে যাওয়া,𑄷. 𑄛𑄧𑄎𑄨 𑄎𑄚
পঁচে ফেলা,𑄛𑄧𑄎𑄬 𑄜𑄬𑄣𑄚𑄳𑄦
.তার কানটি পঁচে যাচ্ছে মনে হয়,𑄖 𑄇𑄚𑄳𑄦𑄚𑄴 𑄛𑄧𑄎𑄬𑄖𑄴𑄖𑄬 𑄛𑄢𑄳𑄦𑄛𑄳𑄦𑄁
.কুকুরের মাথাটা পঁচে যাচ্ছে,𑄇𑄪𑄉𑄪𑄢𑄴𑄞𑄮 𑄥𑄨𑄢𑄬𑄞𑄮 𑄛𑄧𑄎𑄨 𑄎𑄣𑄴𑄣𑄮𑄠𑄴
.আলু গুলো পঁচে যেতে যেতে একটাও আর ভালো থাকবে না,𑄃𑄣𑄪𑄃𑄳𑄦𑄪𑄚𑄴 𑄛𑄧𑄎𑄨 𑄎𑄘𑄬 𑄎𑄘𑄬 𑄉𑄧𑄟𑄴 𑄚𑄧 𑄗𑄬𑄝𑄇𑄴 𑄃𑄳𑄦𑄢𑄴 𑄃𑄨𑄇𑄴𑄊𑄮𑄠𑄮
"তুমি তো নরকে গিয়ে পঁচে যাবে!সে মরাটা তো পঁচা পঁচা হয়েছে,পঁচার গন্ধ বের হচ্ছে","𑄚𑄧𑄢𑄧𑄉𑄧𑄖𑄴 𑄎𑄬𑄚𑄬𑄠𑄴 𑄛𑄧𑄎𑄨𑄝𑄬𑄉𑄮𑄠𑄴 𑄙𑄧 𑄖𑄪𑄠𑄴! 𑄥𑄬 𑄟𑄧𑄢𑄞𑄮 𑄉𑄧𑄘 𑄛𑄧𑄎𑄧𑄁 𑄛𑄧𑄎𑄧𑄁 𑄦𑄪𑄠𑄳𑄦𑄬, 𑄉𑄧𑄘 𑄛𑄧𑄎𑄝𑄌𑄴 𑄚𑄳𑄦𑄨𑄉𑄨𑄣𑄬𑄢𑄴"
.আমগুলো না খেলে তো সব পঁচে ফেলবে,𑄃𑄟𑄳𑄦𑄪𑄚𑄴 𑄚𑄧 𑄈𑄬𑄚𑄬𑄠𑄴 𑄘𑄧 𑄉𑄧𑄘 𑄛𑄧𑄎𑄬 𑄜𑄬𑄣𑄬𑄝𑄬 𑄌𑄋𑄳𑄦𑄧𑄖𑄴𑄖𑄬
সে আবর্জনাগুলো খাও কেন?,𑄥𑄬 𑄛𑄧𑄎𑄣𑄧𑄎𑄃𑄚𑄳𑄦𑄨 𑄈𑄌𑄴𑄌𑄮𑄠𑄴 𑄇𑄨𑄖𑄴𑄗𑄬𑄠𑄴?
কাপড়চোপড়,𑄛𑄧𑄏𑄞𑄨𑄢𑄬
.আমার কাপড়চোপড় সব ছড়িয়ে ছিটিয়ে আছে,𑄟𑄧 𑄛𑄧𑄏𑄃𑄚𑄨 𑄝𑄳𑄦𑄬𑄇𑄴 𑄦𑄨𑄣𑄬𑄝𑄘𑄢𑄳𑄦𑄬
